PMCID/Title,Wavenumber,Attribution
3446881 | Identification of Early Biomarkers during Acetaminophen-Induced Hepatotoxicity by Fourier Transform Infrared Microspectroscopy,996,RNA post-APAP treatment
3446881 | Identification of Early Biomarkers during Acetaminophen-Induced Hepatotoxicity by Fourier Transform Infrared Microspectroscopy,996,C-O stretch, ribose
3661462 | Repair of Abdominal Wall Defects In Vitro and In Vivo Using VEGF Sustained-Release Multi-Walled Carbon Nanotubes (MWNT) Composite Scaffolds,1000,1300 cm-1, post-oxidation
4004186 | Raman Spectroscopy Enables Noninvasive Biochemical Characterization and Identification of the Stage of Healing of a Wound,1003,Amino acid peak, 2-4 fold increase in area
4004186 | Raman Spectroscopy Enables Noninvasive Biochemical Characterization and Identification of the Stage of Healing of a Wound,1003,specific side-chain, unspecified amino-acid
4024030 | Long Bone Structure and Strength Depend on BMP2 from Osteoblasts and Osteocytes, but Not Vascular Endothelial Cells,1003,collagen, WT 12-week-old femora, WT 24-week-old humeri
4277281 | Mechanical Stress Downregulates MHC Class I Expression on Human Cancer Cell Membrane,1003,peak
4277281 | Mechanical Stress Downregulates MHC Class I Expression on Human Cancer Cell Membrane,1003,different amino acids
4364917 | Direct Determination of Phosphatase Activity from Physiological Substrates in Cells,990,Pi
4364917 | Direct Determination of Phosphatase Activity from Physiological Substrates in Cells,990,Pi bands
4364917 | Direct Determination of Phosphatase Activity from Physiological Substrates in Cells,990,observation
4364917 | Direct Determination of Phosphatase Activity from Physiological Substrates in Cells,990,Pi peak
4364917 | Direct Determination of Phosphatase Activity from Physiological Substrates in Cells,990,Pi
4364917 | Direct Determination of Phosphatase Activity from Physiological Substrates in Cells,990,Pi
4364917 | Direct Determination of Phosphatase Activity from Physiological Substrates in Cells,990,disappearance of substrate
4364917 | Direct Determination of Phosphatase Activity from Physiological Substrates in Cells,990,AMP, G-1P, β-GP, pNPP
4364917 | Direct Determination of Phosphatase Activity from Physiological Substrates in Cells,990,Pi in buffer A, 990 cm-1 band
4364917 | Direct Determination of Phosphatase Activity from Physiological Substrates in Cells,990,990 cm-1 band in 50 mM Pi spectrum
4364917 | Direct Determination of Phosphatase Activity from Physiological Substrates in Cells,990,990 cm-1 band in 50 mM Pi spectrum
4364917 | Direct Determination of Phosphatase Activity from Physiological Substrates in Cells,990,increase
4364917 | Direct Determination of Phosphatase Activity from Physiological Substrates in Cells,990,Pi appearance
5171815 | Counteracting bone fragility with human amniotic mesenchymal stem cells,1002,phenylalanine
5304808 | T1-MRI Fluorescent Iron Oxide Nanoparticles by Microwave Assisted Synthesis,1000,FITC-dextran
5408175 | Investigating the Origins of Toxic Response in TiO2 Nanoparticle-Treated Cells,1002,symmetric ring vibrations of Phe
5408175 | Investigating the Origins of Toxic Response in TiO2 Nanoparticle-Treated Cells,1005,increase in Phe/Tyr levels
5515423 | Visual detection of Brucella in bovine biological samples using DNA-activated gold nanoparticles,1000,phosphate and sugar phosphate bonding
5583273 | New approach in evaluation of ceramic-polymer composite bioactivity and biocompatibility,1003,phenylalanine, HPO4 2- ion
5583273 | New approach in evaluation of ceramic-polymer composite bioactivity and biocompatibility,1003,newly formed bone tissue
6186375 | Characterization and Attenuation of Streptozotocin-Induced Diabetic Organ Damage by Polysaccharides from Spent Mushroom Substrate (Pleurotus eryngii),1000,region for pyran rings identification
6306815 | Three-Dimensional Bone Substitutes for Oral and Maxillofacial Surgery: Biological and Structural Characterization,1010,phosphate stretching band
6389544 | Functional textile finishing of type I collagen isolated from bovine bone for potential healthtech,1000,phenylalanine
6401808 | Inclusion Complexes of Citronella Oil with β-Cyclodextrin for Controlled Release in Biofunctional Textiles,1001,1,4 β-glycosidic linkage
6513270 | Effects of scleral collagen crosslinking with different carbohydrate on chemical bond and ultrastructure of rabbit sclera: Future treatment for myopia progression,1003,C-C aromatic ring (phenylalanine)
